ASSAY_ID,assay_chembl_id,8,16,32,64,96
688267,CHEMBL1614530,0.57+/-0.14,0.58+/-0.14,0.61+/-0.13,0.63+/-0.14,0.65+/-0.12
600886,CHEMBL1040692,0.57+/-0.14,0.59+/-0.14,0.61+/-0.14,0.63+/-0.14,0.66+/-0.13
737826,CHEMBL1741325,0.57+/-0.14,0.57+/-0.14,0.61+/-0.13,0.65+/-0.13,0.65+/-0.13
737824_1,CHEMBL1741323,0.58+/-0.14,0.57+/-0.13,0.61+/-0.13,0.63+/-0.14,0.66+/-0.14
737825,CHEMBL1741324,0.58+/-0.14,0.60+/-0.14,0.61+/-0.14,0.63+/-0.14,0.66+/-0.13
1495405,CHEMBL3562136,0.57+/-0.13,0.58+/-0.14,0.62+/-0.13,0.63+/-0.14,0.65+/-0.14
737053,CHEMBL1738598,0.57+/-0.13,0.59+/-0.14,0.62+/-0.15,0.65+/-0.14,0.65+/-0.14
737400,CHEMBL1738606,0.58+/-0.14,0.59+/-0.13,0.60+/-0.13,0.63+/-0.14,0.65+/-0.14
736947,CHEMBL1738312,0.58+/-0.13,0.58+/-0.14,0.59+/-0.13,0.64+/-0.14,0.65+/-0.14
752347,CHEMBL1794311,0.55+/-0.14,0.58+/-0.15,0.60+/-0.14,0.63+/-0.14,0.65+/-0.14
752496,CHEMBL1794486,0.57+/-0.15,0.58+/-0.14,0.62+/-0.14,0.64+/-0.14,0.65+/-0.13
752509,CHEMBL1794499,0.57+/-0.14,0.58+/-0.14,0.60+/-0.13,0.64+/-0.14,0.65+/-0.12
752594,CHEMBL1794584,0.58+/-0.14,0.61+/-0.13,0.60+/-0.13,0.64+/-0.14,0.66+/-0.14
809095,CHEMBL1964081,0.57+/-0.13,0.58+/-0.13,0.61+/-0.13,0.62+/-0.14,0.66+/-0.14
845173,CHEMBL2114784,0.56+/-0.13,0.60+/-0.13,0.61+/-0.14,0.64+/-0.14,0.65+/-0.14
845196,CHEMBL2114807,0.57+/-0.14,0.59+/-0.13,0.61+/-0.14,0.63+/-0.14,0.64+/-0.14
954338,CHEMBL2354287,0.58+/-0.13,0.57+/-0.14,0.61+/-0.14,0.64+/-0.14,0.66+/-0.14
845206,CHEMBL2114817,0.59+/-0.14,0.58+/-0.13,0.62+/-0.13,0.63+/-0.14,0.64+/-0.14
